Volatility 3 Framework 2.7.0

PID	PPID	ImageFileName	Offset(V)	Threads	Handles	SessionId	Wow64	CreateTime	ExitTime	File output
1044	3480	MoUsoCoreWorke	0xaa88158130c0	9	-	0	False	2024-05-09 23:38:19.000000 	N/A	Disabled
3232	768	svchost.exe	0xaa88158350c0	2	-	0	False	2024-05-09 23:21:19.000000 	N/A	Disabled
552	544	csrss.exe	0xaa88158a0140	11	-	0	False	2024-05-10 06:20:04.000000 	N/A	Disabled
624	544	wininit.exe	0xaa8815991080	2	-	0	False	2024-05-10 06:20:05.000000 	N/A	Disabled
644	616	csrss.exe	0xaa88159a4080	11	-	1	False	2024-05-10 06:20:05.000000 	N/A	Disabled
2332	1376	sihost.exe	0xaa88159c7080	15	-	2	False	2024-05-09 23:24:10.000000 	N/A	Disabled
768	624	services.exe	0xaa88159e41c0	5	-	0	False	2024-05-10 06:20:05.000000 	N/A	Disabled
796	624	lsass.exe	0xaa8815a0a180	10	-	0	False	2024-05-10 06:20:05.000000 	N/A	Disabled
920	768	svchost.exe	0xaa8815a71080	22	-	0	False	2024-05-10 06:20:05.000000 	N/A	Disabled
956	724	fontdrvhost.ex	0xaa8815acc080	5	-	1	False	2024-05-10 06:20:05.000000 	N/A	Disabled
948	624	fontdrvhost.ex	0xaa8815aef0c0	5	-	0	False	2024-05-10 06:20:05.000000 	N/A	Disabled
452	768	svchost.exe	0xaa8815b740c0	15	-	0	False	2024-05-10 06:20:05.000000 	N/A	Disabled
548	768	svchost.exe	0xaa8815b7c080	6	-	0	False	2024-05-10 06:20:05.000000 	N/A	Disabled
1028	724	dwm.exe	0xaa8815bb5140	14	-	1	False	2024-05-10 06:20:05.000000 	N/A	Disabled
1164	768	svchost.exe	0xaa8815c5c0c0	1	-	0	False	2024-05-10 06:20:05.000000 	N/A	Disabled
1224	768	svchost.exe	0xaa8815c67080	10	-	0	False	2024-05-10 06:20:05.000000 	N/A	Disabled
1320	768	svchost.exe	0xaa8815cfc080	2	-	0	False	2024-05-10 06:20:05.000000 	N/A	Disabled
1452	768	VBoxService.ex	0xaa8815d130c0	11	-	0	False	2024-05-10 06:20:06.000000 	N/A	Disabled
1492	768	svchost.exe	0xaa8815d16080	2	-	0	False	2024-05-10 06:20:06.000000 	N/A	Disabled
1516	768	svchost.exe	0xaa8815d18080	4	-	0	False	2024-05-10 06:20:06.000000 	N/A	Disabled
1484	768	svchost.exe	0xaa8815d19080	5	-	0	False	2024-05-10 06:20:06.000000 	N/A	Disabled
1500	768	svchost.exe	0xaa8815d1c080	3	-	0	False	2024-05-10 06:20:06.000000 	N/A	Disabled
1572	768	svchost.exe	0xaa8815d460c0	7	-	0	False	2024-05-10 06:20:06.000000 	N/A	Disabled
1660	768	svchost.exe	0xaa8815d790c0	10	-	0	False	2024-05-09 23:20:07.000000 	N/A	Disabled
1672	768	svchost.exe	0xaa8815d7c080	6	-	0	False	2024-05-09 23:20:07.000000 	N/A	Disabled
1696	768	svchost.exe	0xaa8815d85080	3	-	0	False	2024-05-09 23:20:07.000000 	N/A	Disabled
1716	768	svchost.exe	0xaa8815d9f080	6	-	0	False	2024-05-09 23:20:07.000000 	N/A	Disabled
1840	768	svchost.exe	0xaa8815e17080	2	-	0	False	2024-05-09 23:20:07.000000 	N/A	Disabled
1848	4	MemCompression	0xaa8815e18040	50	-	N/A	False	2024-05-09 23:20:07.000000 	N/A	Disabled
1964	768	svchost.exe	0xaa8815e680c0	2	-	0	False	2024-05-09 23:20:07.000000 	N/A	Disabled
1980	768	svchost.exe	0xaa8815e69080	8	-	0	False	2024-05-09 23:20:07.000000 	N/A	Disabled
1880	768	svchost.exe	0xaa8815e9e080	1	-	0	False	2024-05-09 23:20:07.000000 	N/A	Disabled
2100	768	svchost.exe	0xaa8815ef4080	10	-	0	False	2024-05-09 23:20:08.000000 	N/A	Disabled
2064	768	svchost.exe	0xaa8815ef7080	5	-	0	False	2024-05-09 23:20:08.000000 	N/A	Disabled
2240	768	svchost.exe	0xaa8815fd90c0	6	-	0	False	2024-05-09 23:20:08.000000 	N/A	Disabled
2576	768	svchost.exe	0xaa8816129080	10	-	0	False	2024-05-09 23:20:08.000000 	N/A	Disabled
2560	768	svchost.exe	0xaa881612b080	2	-	0	False	2024-05-09 23:20:08.000000 	N/A	Disabled
2692	768	spoolsv.exe	0xaa88161670c0	7	-	0	False	2024-05-09 23:20:08.000000 	N/A	Disabled
2732	768	svchost.exe	0xaa88161a20c0	11	-	0	False	2024-05-09 23:20:08.000000 	N/A	Disabled
3172	768	svchost.exe	0xaa88161e9080	6	-	0	False	2024-05-09 23:20:08.000000 	N/A	Disabled
2636	768	svchost.exe	0xaa8816265080	6	-	0	False	2024-05-09 23:20:08.000000 	N/A	Disabled
2972	768	svchost.exe	0xaa8816266080	1	-	0	False	2024-05-09 23:20:08.000000 	N/A	Disabled
2980	768	svchost.exe	0xaa8816277080	7	-	0	False	2024-05-09 23:20:08.000000 	N/A	Disabled
2988	768	svchost.exe	0xaa8816288080	11	-	0	False	2024-05-09 23:20:08.000000 	N/A	Disabled
2996	768	svchost.exe	0xaa8816299080	15	-	0	False	2024-05-09 23:20:08.000000 	N/A	Disabled
3012	768	svchost.exe	0xaa88162ee080	5	-	0	False	2024-05-09 23:20:08.000000 	N/A	Disabled
2776	768	svchost.exe	0xaa88163bd0c0	3	-	0	False	2024-05-09 23:20:08.000000 	N/A	Disabled
3084	768	sqlwriter.exe	0xaa8816443080	2	-	0	False	2024-05-09 23:20:08.000000 	N/A	Disabled
3104	768	svchost.exe	0xaa8816455080	3	-	0	False	2024-05-09 23:20:08.000000 	N/A	Disabled
3128	768	svchost.exe	0xaa8816487080	12	-	0	False	2024-05-09 23:20:08.000000 	N/A	Disabled
3136	768	wlms.exe	0xaa8816499080	2	-	0	False	2024-05-09 23:20:08.000000 	N/A	Disabled
884	2988	AggregatorHost	0xaa8816869080	1	-	0	False	2024-05-09 23:20:09.000000 	N/A	Disabled
4112	768	svchost.exe	0xaa8816871080	2	-	1	False	2024-05-09 23:20:09.000000 	N/A	Disabled
2176	1376	sihost.exe	0xaa88168bb080	11	-	1	False	2024-05-09 23:20:09.000000 	N/A	Disabled
3632	768	svchost.exe	0xaa8816911080	3	-	1	False	2024-05-09 23:20:09.000000 	N/A	Disabled
4160	768	svchost.exe	0xaa881693c080	4	-	1	False	2024-05-09 23:20:09.000000 	N/A	Disabled
4200	768	svchost.exe	0xaa881693f080	10	-	0	False	2024-05-09 23:20:09.000000 	N/A	Disabled
4224	1224	taskhostw.exe	0xaa8816992080	6	-	1	False	2024-05-09 23:20:09.000000 	N/A	Disabled
12624	1044	MoNotification	0xaa88169b80c0	0	-	2	False	2024-05-09 23:39:22.000000 	2024-05-09 23:39:34.000000 	Disabled
4628	4544	explorer.exe	0xaa88169d7080	38	-	1	False	2024-05-09 23:20:09.000000 	N/A	Disabled
4544	724	userinit.exe	0xaa88169e5080	0	-	1	False	2024-05-09 23:20:09.000000 	2024-05-09 23:20:31.000000 	Disabled
3832	768	svchost.exe	0xaa8816a900c0	5	-	0	False	2024-05-09 23:20:08.000000 	N/A	Disabled
4036	768	svchost.exe	0xaa8816b4c080	21	-	0	False	2024-05-09 23:20:09.000000 	N/A	Disabled
1216	768	NisSrv.exe	0xaa8816c840c0	5	-	0	False	2024-05-09 23:30:36.000000 	N/A	Disabled
4636	768	svchost.exe	0xaa8816c8c080	5	-	0	False	2024-05-09 23:20:09.000000 	N/A	Disabled
4776	768	svchost.exe	0xaa8816d20080	6	-	0	False	2024-05-09 23:20:09.000000 	N/A	Disabled
5924	768	TrustedInstall	0xaa8816e7c0c0	4	-	0	False	2024-05-09 23:39:12.000000 	N/A	Disabled
4684	768	svchost.exe	0xaa8816e87080	4	-	1	False	2024-05-09 23:20:10.000000 	N/A	Disabled
2664	768	svchost.exe	0xaa8816ebd080	0	-	0	False	2024-05-09 23:20:10.000000 	2024-05-09 23:33:16.000000 	Disabled
4468	768	svchost.exe	0xaa8816ee1080	20	-	0	False	2024-05-09 23:20:10.000000 	N/A	Disabled
5388	920	SearchHost.exe	0xaa8816fd9080	50	-	1	False	2024-05-09 23:20:10.000000 	N/A	Disabled
5396	920	StartMenuExper	0xaa88170430c0	16	-	1	False	2024-05-09 23:20:10.000000 	N/A	Disabled
5460	768	svchost.exe	0xaa88170e00c0	1	-	0	False	2024-05-09 23:20:10.000000 	N/A	Disabled
9540	920	smartscreen.ex	0xaa88170e8080	5	-	2	False	2024-05-09 23:39:26.000000 	N/A	Disabled
4152	768	svchost.exe	0xaa88171a1080	3	-	2	False	2024-05-09 23:29:36.000000 	N/A	Disabled
5436	920	Widgets.exe	0xaa88171ad0c0	13	-	1	False	2024-05-09 23:20:10.000000 	N/A	Disabled
5596	732	msedgewebview2	0xaa88172240c0	14	-	2	False	2024-05-09 23:29:28.000000 	N/A	Disabled
5520	920	RuntimeBroker.	0xaa881724e080	5	-	1	False	2024-05-09 23:20:10.000000 	N/A	Disabled
5660	768	svchost.exe	0xaa8817258080	3	-	0	False	2024-05-09 23:20:10.000000 	N/A	Disabled
8776	920	WidgetService.	0xaa88172960c0	6	-	2	False	2024-05-09 23:29:28.000000 	N/A	Disabled
11816	768	svchost.exe	0xaa88172c0080	4	-	2	False	2024-05-09 23:29:37.000000 	N/A	Disabled
5696	920	RuntimeBroker.	0xaa88172c90c0	9	-	1	False	2024-05-09 23:20:10.000000 	N/A	Disabled
5852	768	svchost.exe	0xaa88172d7080	2	-	1	False	2024-05-09 23:20:11.000000 	N/A	Disabled
5136	920	dllhost.exe	0xaa8817304080	7	-	1	False	2024-05-09 23:20:11.000000 	N/A	Disabled
6588	2204	ctfmon.exe	0xaa88175a80c0	9	-	1	False	2024-05-09 23:20:11.000000 	N/A	Disabled
6872	768	svchost.exe	0xaa88176540c0	4	-	0	False	2024-05-09 23:22:10.000000 	N/A	Disabled
8184	768	uhssvc.exe	0xaa88177e60c0	5	-	0	False	2024-05-09 23:22:10.000000 	N/A	Disabled
7532	920	ShellExperienc	0xaa88177e7080	28	-	1	False	2024-05-09 23:20:40.000000 	N/A	Disabled
2932	5160	msedgewebview2	0xaa88177e8080	0	-	1	False	2024-05-09 23:20:16.000000 	2024-05-09 23:20:18.000000 	Disabled
7068	768	SearchIndexer.	0xaa88177e9080	18	-	0	False	2024-05-09 23:20:16.000000 	N/A	Disabled
4692	768	svchost.exe	0xaa88177ea080	7	-	0	False	2024-05-09 23:20:16.000000 	N/A	Disabled
5160	4628	OneDrive.exe	0xaa88177ec080	19	-	1	False	2024-05-09 23:20:16.000000 	N/A	Disabled
3924	4628	VBoxTray.exe	0xaa88177ed080	11	-	1	False	2024-05-09 23:20:15.000000 	N/A	Disabled
4028	768	SecurityHealth	0xaa88177ee080	11	-	0	False	2024-05-09 23:20:15.000000 	N/A	Disabled
1248	4628	SecurityHealth	0xaa88177ef080	1	-	1	False	2024-05-09 23:20:15.000000 	N/A	Disabled
4988	768	svchost.exe	0xaa8817825080	4	-	0	False	2024-05-09 23:24:12.000000 	N/A	Disabled
5692	732	msedgewebview2	0xaa8817a640c0	20	-	2	False	2024-05-09 23:29:28.000000 	N/A	Disabled
3524	768	svchost.exe	0xaa8817a69080	4	-	2	False	2024-05-09 23:24:10.000000 	N/A	Disabled
5008	724	LogonUI.exe	0xaa8817bea0c0	7	-	1	False	2024-05-09 23:24:05.000000 	N/A	Disabled
8056	7068	SearchProtocol	0xaa8817ce60c0	5	-	0	False	2024-05-09 23:34:31.000000 	N/A	Disabled
2308	7100	csrss.exe	0xaa8817d700c0	17	-	2	False	2024-05-09 23:24:05.000000 	N/A	Disabled
2720	768	svchost.exe	0xaa8817d81080	12	-	0	False	2024-05-09 23:21:19.000000 	N/A	Disabled
7080	8164	dwm.exe	0xaa8817d82080	23	-	2	False	2024-05-09 23:24:05.000000 	N/A	Disabled
7676	724	wlrmdr.exe	0xaa8817db20c0	0	-	1	False	2024-05-09 23:20:39.000000 	2024-05-09 23:20:47.000000 	Disabled
7240	920	RuntimeBroker.	0xaa8817db4080	10	-	1	False	2024-05-09 23:20:40.000000 	N/A	Disabled
7656	12672	KeePass-2.56-S	0xaa8817dc30c0	1	-	2	True	2024-05-09 23:25:57.000000 	N/A	Disabled
6280	768	svchost.exe	0xaa8817dea0c0	11	-	0	False	2024-05-09 23:22:08.000000 	N/A	Disabled
5148	768	svchost.exe	0xaa8817ec50c0	2	-	0	False	2024-05-09 23:21:09.000000 	N/A	Disabled
7900	920	WWAHost.exe	0xaa8817ed1140	38	-	1	False	2024-05-09 23:23:02.000000 	N/A	Disabled
5492	920	RuntimeBroker.	0xaa8817ed60c0	7	-	2	False	2024-05-09 23:29:36.000000 	N/A	Disabled
8860	768	svchost.exe	0xaa88180e60c0	6	-	2	False	2024-05-09 23:24:27.000000 	N/A	Disabled
2260	1224	UsoClient.exe	0xaa88183d60c0	0	-	0	False	2024-05-09 23:39:10.000000 	2024-05-09 23:39:10.000000 	Disabled
7360	768	svchost.exe	0xaa88183f6080	3	-	0	False	2024-05-09 23:24:25.000000 	N/A	Disabled
11052	1044	MoNotification	0xaa88184c50c0	0	-	2	False	2024-05-09 23:39:33.000000 	2024-05-09 23:39:34.000000 	Disabled
8280	920	SearchHost.exe	0xaa88184df080	71	-	2	False	2024-05-09 23:24:28.000000 	N/A	Disabled
10808	1044	MoNotification	0xaa88184f4080	0	-	2	False	2024-05-09 23:39:33.000000 	2024-05-09 23:39:40.000000 	Disabled
5284	920	RuntimeBroker.	0xaa88185c80c0	14	-	2	False	2024-05-09 23:42:21.000000 	N/A	Disabled
11940	9596	KeePass.exe	0xaa88185d90c0	8	-	2	False	2024-05-09 23:26:53.000000 	N/A	Disabled
1936	920	ShellExperienc	0xaa88185ea0c0	23	-	2	False	2024-05-09 23:29:36.000000 	N/A	Disabled
5336	920	StartMenuExper	0xaa88185ed080	11	-	2	False	2024-05-09 23:24:28.000000 	N/A	Disabled
8608	5740	KeePass-2.56-S	0xaa88188020c0	1	-	2	True	2024-05-09 23:25:51.000000 	N/A	Disabled
2364	1184	msedge.exe	0xaa88188240c0	7	-	2	False	2024-05-09 23:26:54.000000 	N/A	Disabled
8364	920	RuntimeBroker.	0xaa8818994080	6	-	2	False	2024-05-09 23:24:28.000000 	N/A	Disabled
4984	768	svchost.exe	0xaa8818a29080	3	-	0	False	2024-05-09 23:40:05.000000 	N/A	Disabled
1652	920	smartscreen.ex	0xaa8818b53080	5	-	1	False	2024-05-09 23:39:26.000000 	N/A	Disabled
8448	768	svchost.exe	0xaa8818b55080	5	-	2	False	2024-05-09 23:24:28.000000 	N/A	Disabled
732	8304	msedgewebview2	0xaa8818bce0c0	46	-	2	False	2024-05-09 23:29:28.000000 	N/A	Disabled
8304	920	Widgets.exe	0xaa8818be8080	12	-	2	False	2024-05-09 23:24:28.000000 	N/A	Disabled
8472	6008	VBoxTray.exe	0xaa8818c860c0	14	-	2	False	2024-05-09 23:24:39.000000 	N/A	Disabled
5740	5596	KeePass-2.56-S	0xaa8818ca70c0	1	-	2	True	2024-05-09 23:25:50.000000 	N/A	Disabled
12680	1184	msedge.exe	0xaa8818d640c0	14	-	2	False	2024-05-09 23:26:54.000000 	N/A	Disabled
10708	768	svchost.exe	0xaa8818e7a080	3	-	0	False	2024-05-09 23:25:11.000000 	N/A	Disabled
9596	768	svchost.exe	0xaa8818e93080	3	-	0	False	2024-05-09 23:39:26.000000 	N/A	Disabled
12672	8608	KeePass-2.56-S	0xaa8818eb70c0	1	-	2	True	2024-05-09 23:25:56.000000 	N/A	Disabled
13056	1184	msedge.exe	0xaa8818eea0c0	17	-	2	False	2024-05-09 23:27:00.000000 	N/A	Disabled
3968	1184	msedge.exe	0xaa8818f020c0	14	-	2	False	2024-05-09 23:27:00.000000 	N/A	Disabled
3460	920	WidgetService.	0xaa8818f09080	6	-	1	False	2024-05-09 23:25:11.000000 	N/A	Disabled
7916	920	TiWorker.exe	0xaa8818f850c0	3	-	0	False	2024-05-09 23:39:12.000000 	N/A	Disabled
10564	920	SystemSettings	0xaa8818f9d080	3	-	1	False	2024-05-09 23:25:11.000000 	N/A	Disabled
2948	5948	OneDrive.exe	0xaa8818f9e080	27	-	2	False	2024-05-09 23:25:06.000000 	N/A	Disabled
11564	10348	msedgewebview2	0xaa88192020c0	16	-	1	False	2024-05-09 23:25:12.000000 	N/A	Disabled
11932	768	svchost.exe	0xaa881928e080	13	-	0	False	2024-05-09 23:25:12.000000 	N/A	Disabled
10284	732	msedgewebview2	0xaa88192ca0c0	16	-	2	False	2024-05-09 23:29:28.000000 	N/A	Disabled
1788	768	svchost.exe	0xaa88192db0c0	3	-	2	False	2024-05-09 23:26:10.000000 	N/A	Disabled
1236	1044	MoNotification	0xaa88194020c0	0	-	2	False	2024-05-09 23:39:22.000000 	2024-05-09 23:39:22.000000 	Disabled
12708	732	msedgewebview2	0xaa88194cb0c0	9	-	2	False	2024-05-09 23:29:28.000000 	N/A	Disabled
3944	768	MsMpEng.exe	0xaa881ac640c0	35	-	0	False	2024-05-09 23:30:30.000000 	N/A	Disabled
10636	10348	msedgewebview2	0xaa881ac6a080	9	-	1	False	2024-05-09 23:25:12.000000 	N/A	Disabled
10348	5436	msedgewebview2	0xaa881ac6b080	45	-	1	False	2024-05-09 23:25:12.000000 	N/A	Disabled
11404	10348	msedgewebview2	0xaa881acee080	10	-	1	False	2024-05-09 23:25:12.000000 	N/A	Disabled
11352	10348	msedgewebview2	0xaa881acf0180	14	-	1	False	2024-05-09 23:25:12.000000 	N/A	Disabled
11332	10348	msedgewebview2	0xaa881acf1080	20	-	1	False	2024-05-09 23:25:12.000000 	N/A	Disabled
10092	920	SystemSettings	0xaa881ade90c0	3	-	2	False	2024-05-09 23:29:36.000000 	N/A	Disabled
9524	920	Microsoft.Phot	0xaa881ae230c0	17	-	2	False	2024-05-09 23:40:45.000000 	N/A	Disabled
1184	5596	msedge.exe	0xaa881aec70c0	50	-	2	False	2024-05-09 23:26:54.000000 	N/A	Disabled
5808	7068	SearchFilterHo	0xaa881aedb080	5	-	0	False	2024-05-09 23:40:49.000000 	N/A	Disabled
4208	768	svchost.exe	0xaa881afe5080	5	-	0	False	2024-05-09 23:30:15.000000 	N/A	Disabled
13076	920	RuntimeBroker.	0xaa881b9ba080	7	-	2	False	2024-05-09 23:40:48.000000 	N/A	Disabled
38482906974784	1116818440289	�m	0xcd0b8a4b9ebf	17041568	-	-	True	2002-05-22 19:58:14.000000 	N/A	Disabled
