Volatility 3 Framework 2.7.0

Offset	Name	Size
0x8a8fe5e0a7b0	\Windows\System32\Windows.Security.Authentication.OnlineId.dll	216
0x8a8fe5e0a940	\Windows\System32\tcpmon.dll	216
0x8a8fe5e0aad0	\Windows\System32\CoreShellExtFramework.dll	216
0x8a8fe5e0ac60	\Windows\System32\twinui.pcshell.dll	216
0x8a8fe5e0adf0	\CMNotify	216
0x8a8fe5e0b430	\ProgramData\Microsoft\Windows\AppRepository\Packages\MicrosoftWindows.Client.CBS_120.27512.10351.0_x64__cw5n1h2txyewy\ActivationStore.dat	216
0x8a8fe5e0b5c0	\Windows\System32\en-US\KernelBase.dll.mui	216
0x8a8fe5e0b750	\ProgramData\Microsoft\Windows Defender\Scans\mpcache-734932F219F2AE57C2CB573A9C1827577B950C89.bin.7C	216
0x8a8fe5e0b8e0	\Windows\WinSxS\amd64_microsoft.windows.gdiplus_6595b64144ccf1df_1.1.20348.558_none_058e7a50a1527a0d	216
0x8a8fe5e0ba70	\$Directory	216
0x8a8fe5e0bc00	\Users\Administrator\AppData\Local\Microsoft\Windows\Caches\{3DA71D5A-20CC-432F-A115-DFE92379E91F}.3.ver0x0000000000000008.db	216
0x8a8fe5e0bd90	\Windows\Registration\R000000000006.clb	216
0x8a8fe5e0c0b0	\lsarpc	216
0x8a8fe5e0c3d0	\Windows\System32\winevt\Logs\Microsoft-Windows-PushNotification-Platform%4Operational.evtx	216
0x8a8fe5e0c560	\Windows\System32\drvstore.dll	216
0x8a8fe5e0c6f0	\Users\Administrator\AppData\Local\Microsoft\Windows\Caches\{AFBF9F1A-8EE8-4C77-AF34-C647E37CA0D9}.1.ver0x0000000000000003.db	216
0x8a8fe5e0ca10	\Windows\System32\AppExtension.dll	216
0x8a8fe5e0cba0	\$Directory	216
0x8a8fe5e0cec0	\Windows\System32\winevt\Logs\Microsoft-Windows-PushNotification-Platform%4Admin.evtx	216
0x8a8fe5e0d1e0	\Windows\System32\en-US\win32spl.dll.mui	216
0x8a8fe5e0d370	\Windows\System32\wpnclient.dll	216
0x8a8fe5e0d500	\Windows\System32\spool\prtprocs\x64\winprint.dll	216
0x8a8fe5e0d690	\Program Files\WindowsApps\Microsoft.VCLibs.140.00_14.0.27810.0_x64__8wekyb3d8bbwe\vcruntime140_1_app.dll	216
0x8a8fe5e0d820	\Windows\Registration\R000000000006.clb	216
0x8a8fe5e0d9b0	\$Directory	216
0x8a8fe5e0db40	\Windows\System32\win32spl.dll	216
0x8a8fe5e0dcd0	\Windows\System32\AppResolver.dll	216
0x8a8fe5e0de60	\CMApi	216
0x8a8fe5e0e180	\Windows\System32\en-US\winnlsres.dll.mui	216
0x8a8fe5e0e310	\ProgramData\Microsoft\Windows Defender\Scans\mpcache-734932F219F2AE57C2CB573A9C1827577B950C89.bin.79	216
0x8a8fe5e0e4a0	\Windows\System32\capauthz.dll	216
0x8a8fe5e0e630	\Users\Administrator\AppData\Local\Microsoft\Windows\Caches\cversions.3.db	216
0x8a8fe5e0e7c0	\SwDevice	216
0x8a8fe5e0e950	\Windows\System32\dssenh.dll	216
0x8a8fe5e0eae0	\Program Files\WindowsApps\Microsoft.VCLibs.140.00_14.0.27810.0_x64__8wekyb3d8bbwe\vcruntime140_app.dll	216
0x8a8fe5e0ec70	\Windows\System32\mskeyprotect.dll	216
0x8a8fe5e0ee00	\Windows\System32\winevt\Logs\Microsoft-Windows-LiveId%4Operational.evtx	216
0x8a8fe5e0f2b0	\Windows\System32\wpnapps.dll	216
0x8a8fe5e0f440	\$Directory	216
0x8a8fe5e0f760	\CMNotify	216
0x8a8fe5e0fc10	\SwDevice	216
0x8a8fe5e0fda0	\ProgramData\Microsoft\Windows\AppRepository\StateRepository-Machine.srd	216
0x8a8fe5e100c0	\srvsvc	216
0x8a8fe5e10250	\CMNotify	216
0x8a8fe5e103e0	\CMNotify	216
0x8a8fe5e10700	\ProgramData\Microsoft\Windows\AppRepository\StateRepository-Machine.srd-shm	216
0x8a8fe5e10890	\Windows\System32\Windows.CloudStore.Schema.Shell.dll	216
0x8a8fe5e10a20	\Dev\Query	216
0x8a8fe5e10bb0	\Windows\System32\duser.dll	216
0x8a8fe5e10d40	\Windows\explorer.exe	216
0x8a8fe5e10ed0	\Dev\Query	216
0x8a8fe5e111f0	\CMNotify	216
0x8a8fe5e11510	\srvsvc	216
0x8a8fe5e11830	\ProgramData\Microsoft\Windows\AppRepository\StateRepository-Machine.srd-wal	216
0x8a8fe5e119c0	\Windows\Fonts\tahoma.ttf	216
0x8a8fe5e11b50	\Program Files\WindowsApps\Microsoft.VCLibs.140.00_14.0.27810.0_x64__8wekyb3d8bbwe\msvcp140_app.dll	216
0x8a8fe5e11e70	\CMApi	216
0x8a8fe5e12190	\$Directory	216
0x8a8fe5e124b0	\$Directory	216
0x8a8fe5e12640	\Windows\System32\NotificationControllerPS.dll	216
0x8a8fe5e127d0	\$Directory	216
0x8a8fe5e12960	\Windows\System32\en-US\shell32.dll.mui	216
0x8a8fe5e12af0	\Program Files\WindowsApps\Microsoft.VCLibs.140.00_14.0.27810.0_x64__8wekyb3d8bbwe\vccorlib140_app.dll	216
0x8a8fe5e12c80	\$Directory	216
0x8a8fe5e12e10	\ProgramData\Microsoft\Windows Defender\Scans\mpcache-734932F219F2AE57C2CB573A9C1827577B950C89.bin.83	216
0x8a8fe5e13130	\Windows\System32\en-US\KernelBase.dll.mui	216
0x8a8fe5e132c0	\Users\Administrator\AppData\Local\Microsoft\Windows\Explorer\iconcache_idx.db	216
0x8a8fe5e135e0	\$Directory	216
0x8a8fe5e13770	\Windows\System32\Windows.StateRepositoryBroker.dll	216
0x8a8fe5e13900	\SwDevice	216
0x8a8fe5e13a90	\Windows\System32\ninput.dll	216
0x8a8fe5e13c20	\$Directory	216
0x8a8fe5e13db0	\Windows\System32\vaultcli.dll	216
0x8a8fe5e140d0	\Windows\WinSxS\amd64_microsoft.windows.gdiplus_6595b64144ccf1df_1.1.20348.558_none_058e7a50a1527a0d\GdiPlus.dll	216
0x8a8fe5e14260	\Windows\System32\StartTileData.dll	216
0x8a8fe5e143f0	\Windows\System32\ncryptsslp.dll	216
0x8a8fe5e14580	\Windows\System32\en-US\mswsock.dll.mui	216
0x8a8fe5e14710	\Windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\InputApp.dll	216
0x8a8fe5e14a30	\$Directory	216
0x8a8fe5e14d50	\Windows\System32\DataExchange.dll	216
0x8a8fe5e14ee0	\Windows\Microsoft.NET\Framework64\v4.0.30319\mscoreei.dll	216
0x8a8fe5e15200	\Program Files\Common Files\microsoft shared\ink\en-US\TipRes.dll.mui	216
0x8a8fe5e15390	\Windows\System32\en-US\oleaccrc.dll.mui	216
0x8a8fe5e15840	\$Directory	216
0x8a8fe5e159d0	\Windows\System32\SecureTimeAggregator.dll	216
0x8a8fe5e15e80	\Windows\System32\en-US\crypt32.dll.mui	216
0x8a8fe5e161a0	\Windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\resources.pri	216
0x8a8fe5e164c0	\Windows\System32\SndVolSSO.dll	216
0x8a8fe5e16650	\Windows\System32\MMDevAPI.dll	216
0x8a8fe5e167e0	\$Directory	216
0x8a8fe5e16b00	\Windows\WinSxS\amd64_microsoft.windows.common-controls_6595b64144ccf1df_6.0.20348.1_none_88d3d41d702dedea	216
0x8a8fe5e16c90	\Users\Administrator\AppData\Local\Microsoft\Windows\Explorer\thumbcache_32.db	216
0x8a8fe5e172d0	\Windows\Registration\R000000000006.clb	216
0x8a8fe5e17460	\Windows\Fonts\StaticCache.dat	216
0x8a8fe5e175f0	\Windows\System32\EhStorShell.dll	216
0x8a8fe5e17780	\Windows\System32\ExplorerFrame.dll	216
0x8a8fe5e17aa0	\Windows\Fonts\segmdl2.ttf	216
0x8a8fe5e17ad0	笨誏￿笨誏￿	0
0x8a8fe5e17dc0	\Windows\System32\thumbcache.dll	216
0x8a8fe5e180e0	\Windows\System32\windows.immersiveshell.serviceprovider.dll	216
0x8a8fe5e18270	\srvsvc	216
0x8a8fe5e18400	\Windows\WinSxS\amd64_microsoft.windows.common-controls_6595b64144ccf1df_6.0.20348.1_none_88d3d41d702dedea	216
0x8a8fe5e18590	\ProgramData\Microsoft\Windows Defender\Scans\mpenginedb.db-wal	216
0x8a8fe5e18720	\Windows\System32\edputil.dll	216
0x8a8fe5e18bd0	\Users\Administrator\AppData\Local\Microsoft\Windows\Explorer\thumbcache_16.db	216
0x8a8fe5e18d60	\ProgramData\Microsoft\Windows Defender\Scans\mpenginedb.db-shm	216
0x8a8fe5e18ef0	\ProgramData\Microsoft\Windows Defender\Scans\mpenginedb.db	216
0x8a8fe5e19080	\Windows\WinSxS\amd64_microsoft.windows.common-controls_6595b64144ccf1df_6.0.20348.1_none_88d3d41d702dedea	216
0x8a8fe5e19210	\$Directory	216
0x8a8fe5e193a0	\Program Files\Common Files\microsoft shared\ink\tabskb.dll	216
0x8a8fe5e19850	\Windows\System32\en-US\Tabbtn.dll.mui	216
0x8a8fe5e199e0	\ProgramData\Microsoft\Windows Defender\Scans\mpenginedb.db	216
0x8a8fe5e19d00	\Windows\WinSxS\amd64_microsoft.windows.common-controls_6595b64144ccf1df_6.0.20348.1_none_88d3d41d702dedea	216
0x8a8fe5e19e90	\Windows\System32\en-US\propsys.dll.mui	216
0x8a8fe5e1a1b0	\Windows\WinSxS\amd64_microsoft.windows.common-controls_6595b64144ccf1df_6.0.20348.1_none_88d3d41d702dedea	216
0x8a8fe5e1a4d0	\Windows\System32\twinui.dll	216
0x8a8fe5e1a660	\Windows\System32\cscui.dll	216
0x8a8fe5e1a7f0	\$Directory	216
0x8a8fe5e1a980	\Windows\System32\TabbtnEx.dll	216
0x8a8fe5e1ae30	\Windows\System32\en-US\crypt32.dll.mui	216
0x8a8fe5e1b150	\Windows\System32	216
0x8a8fe5e1b2e0	\$ConvertToNonresident	216
0x8a8fe5e1b470	\Users\Administrator\AppData\Local\Microsoft\Windows\Explorer\iconcache_48.db	216
0x8a8fe5e1b600	\Windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\LayoutData.dll	216
0x8a8fe5e1b790	\Program Files\Common Files\microsoft shared\ink\InkObj.dll	216
0x8a8fe5e1b920	\ProgramData\Microsoft\Windows Defender\Definition Updates\Updates	216
0x8a8fe5e1bab0	\Windows\System32\winevt\Logs\Microsoft-Windows-Program-Compatibility-Assistant%4CompatAfterUpgrade.evtx	216
0x8a8fe5e1bc40	\Windows\System32\ucrtbase_clr0400.dll	216
0x8a8fe5e1bdd0	\Users\Public\Desktop	216
0x8a8fe5e1c0f0	\Windows\System32\AboveLockAppHost.dll	216
0x8a8fe5e1c280	\Windows\System32\ntshrui.dll	216
0x8a8fe5e1c410	\srvsvc	216
0x8a8fe5e1c5a0	\Windows\System32	216
0x8a8fe5e1c730	\ProgramData\Microsoft\Windows Defender\IMpService77BDAF73-B396-481F-9042-AD358843EC24.lock	216
0x8a8fe5e1c8c0	\Windows\WinSxS\amd64_microsoft.windows.common-controls_6595b64144ccf1df_6.0.20348.1_none_88d3d41d702dedea	216
0x8a8fe5e1ca50	\Windows\System32\winevt\Logs\Microsoft-Windows-Application-Experience%4Program-Compatibility-Assistant.evtx	216
0x8a8fe5e1cbe0	\CMApi	216
0x8a8fe5e1cd70	\Windows\SysWOW64\sspicli.dll	216
0x8a8fe5e1d090	\$Directory	216
0x8a8fe5e1d220	\Windows\System32\rometadata.dll	216
0x8a8fe5e1d3b0	\Users\Administrator\AppData\Local\Microsoft\Windows\Explorer\iconcache_48.db	216
0x8a8fe5e1d6d0	\lsass	216
0x8a8fe5e1d860	\$Directory	216
0x8a8fe5e1d9f0	\srvsvc	216
0x8a8fe5e1db80	\Windows\System32\IconCodecService.dll	216
0x8a8fe5e1dd10	\Windows\System32\winbrand.dll	216
0x8a8fe5e1dea0	\Users\Administrator\AppData\Local\Microsoft\Windows\Explorer\iconcache_idx.db	216
0x8a8fe5e1e4e0	\$Directory	216
0x8a8fe5e1e670	\Windows\System32\spool\drivers\x64\PCC	216
0x8a8fe5e1e800	\Windows\System32\Windows.UI.Core.TextInput.dll	216
0x8a8fe5e1e990	\Windows\System32\tdh.dll	216
0x8a8fe5e1eb20	\Windows\System32\spool\drivers\x64\PCC	216
0x8a8fe5e1ee40	\Windows\System32\Windows.Web.dll	216
0x8a8fe5e1f160	\Windows\System32\en-US\twinui.pcshell.dll.mui	216
0x8a8fe5e1f2f0	\Users\Administrator\Desktop	216
0x8a8fe5e1f480	\Users\Administrator\Desktop	216
0x8a8fe5e1f930	\Users\Administrator\AppData\Roaming\Microsoft\Windows\Network Shortcuts	216
0x8a8fe5e1fac0	\Users\Administrator\AppData\Roaming\Microsoft\Windows\Network Shortcuts	216
0x8a8fe5e1fc50	\Windows\System32\spool\drivers\x64\PCC	216
0x8a8fe5e1fde0	\Users\Administrator\AppData\Local\Microsoft\Windows\Explorer\iconcache_idx.db	216
0x8a8fe5e20290	\Windows\System32\spool\drivers\x64\PCC	216
0x8a8fe5e20420	\Windows\System32\NPSM.dll	216
0x8a8fe5e205b0	\$Directory	216
0x8a8fe5e20740	\$Directory	216
0x8a8fe5e208d0	\Windows\System32\en-US\ApplicationFrame.dll.mui	216
0x8a8fe5e20a60	\Windows\System32\en-US\windows.storage.dll.mui	216
0x8a8fe5e20bf0	\$Directory	216
0x8a8fe5e20d80	\Users\Public\Desktop	216
0x8a8fe5e210a0	\$Directory	216
0x8a8fe5e21230	\Windows\System32\spool\drivers\W32X86\PCC	216
0x8a8fe5e213c0	\Windows\System32\spool\drivers\W32X86\PCC	216
0x8a8fe5e21550	\Windows\SysWOW64\apphelp.dll	216
0x8a8fe5e21870	\Windows\System32\WinMetadata\Windows.UI.winmd	216
0x8a8fe5e91670	\Windows\System32\drivers\ahcache.sys	216
0x8a8fe5e917e0	\Windows\System32\drivers\mssmbios.sys	216
0x8a8fe5e91950	\$Directory	216
0x8a8fe5e91ac0	\Windows\System32\drivers\bam.sys	216
0x8a8fe5e924d0	\Windows\System32\drivers\dfsc.sys	216
0x8a8fe5e92640	\Windows\System32\drivers\fastfat.sys	216
0x8a8fe5e93330	\Windows\System32\drivers\kdnic.sys	216
0x8a8fe5e93780	\Windows\System32\C_1252.NLS	216
0x8a8fe5e94750	\Windows\bootstat.dat	216
0x8a8fe5e948c0	\$Directory	216
0x8a8fe5e94ba0	\$Directory	216
0x8a8fe5e95440	\Windows\System32\DriverStore\FileRepository\compositebus.inf_amd64_130dea07a2ae55eb\CompositeBus.sys	216
0x8a8fe5e955b0	\Windows\System32\l_intl.nls	216
0x8a8fe5e95720	\Windows\System32\C_437.NLS	216
0x8a8fe5e95b70	\$Directory	216
0x8a8fe5e96580	\Windows\System32\smss.exe	216
0x8a8fe5e966f0	\Windows\System32\drivers\i8042prt.sys	216
0x8a8fe5e96b40	\Windows\System32\drivers\serial.sys	216
0x8a8fe5e97100	\Windows\System32\drivers\serenum.sys	216
0x8a8fe5e97830	\Windows\System32\drivers\usbport.sys	216
0x8a8fe5e97c80	\Windows\System32\drivers\vmmouse.sys	216
0x8a8fe5e97df0	\Windows\System32\drivers\vm3dmp_loader.sys	216
